CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,PAVAROLO,856,423,688,343,9,7,2,1,173,81,17,46,129,6,3,16,3,10,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,184,39.53488372093023,26.744186046511626
PIEMONTE 1,PINO TORINESE,6632,3163,5365,2610,34,34,23,60,862,854,252,489,1416,34,31,185,10,59,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1970,37.80055917986952,36.71947809878844
PIEMONTE 1,RIVALBA,922,461,757,391,6,9,13,3,175,52,37,41,189,4,4,23,2,6,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,238,35.270805812417436,31.43989431968296
PIEMONTE 1,RIVA PRESSO CHIERI,3608,1776,2964,1500,34,29,20,10,666,315,109,84,524,9,16,54,5,12,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,633,37.11201079622132,21.356275303643724
PIEMONTE 1,RONDISSONE,1466,749,1124,580,9,12,7,16,295,168,39,21,139,1,10,18,5,6,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,171,46.08540925266904,15.213523131672599
PIEMONTE 1,SAN BENIGNO CANAVESE,4642,2264,3591,1781,37,30,20,20,689,435,118,76,674,23,14,100,8,27,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,787,35.14341409078251,21.915900863269282
PIEMONTE 1,SAN MAURO TORINESE,15356,7357,12117,5924,110,98,40,103,2347,1278,421,676,2597,47,39,537,28,159,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4149,3359,34.24114879920773,27.72138318065528
PIEMONTE 1,SAN RAFFAELE CIMENA,2477,1211,1884,938,8,9,6,9,406,249,52,55,371,12,7,81,2,13,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,445,38.004246284501065,23.61995753715499
PIEMONTE 1,SAN SEBASTIANO DA PO,1568,777,1210,601,16,10,0,12,230,160,41,46,230,4,11,34,7,10,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,291,36.611570247933884,24.049586776859506
PIEMONTE 1,SCIOLZE,1169,574,907,457,8,7,5,5,205,122,26,48,178,1,2,27,7,6,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,229,39.470782800441015,25.24807056229327
PIEMONTE 1,SETTIMO TORINESE,37661,18040,29004,14412,174,209,97,96,5032,2667,690,720,5961,82,113,1234,65,309,9796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8485,6876,29.25458557440353,23.70707488622259
PIEMONTE 1,TORRAZZA PIEMONTE,2335,1156,1721,879,16,24,5,17,343,247,62,37,244,10,7,51,4,8,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,298,38.87274840209181,17.315514235909355
PIEMONTE 1,VEROLENGO,3922,1917,3065,1523,27,59,10,104,700,368,101,66,494,10,8,68,9,24,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,578,41.533442088091356,18.858075040783035
