CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
SARDEGNA,TEMPIO PAUSANIA,11553,5646,7195,3608,73,50,23,152,872,1154,262,86,1110,102,7,200,27,46,2413,0,0,0,0,0,0,0,0,0,0,0,33,74,0,0,0,0,0,2440,1305,33.912439193884644,18.13759555246699
SARDEGNA,TERGU,505,248,310,159,4,4,0,5,42,45,10,2,38,0,0,4,1,2,126,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,102,40,32.903225806451616,12.903225806451612
SARDEGNA,THIESI,2431,1212,1570,803,14,7,4,14,108,179,52,28,266,3,2,43,1,41,650,0,0,0,0,0,0,0,0,0,0,0,11,75,0,0,0,0,0,353,299,22.484076433121018,19.044585987261147
SARDEGNA,TORRALBA,786,398,535,288,9,7,2,3,34,125,19,1,80,0,1,5,0,3,213,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,181,82,33.83177570093458,15.327102803738319
SARDEGNA,TRINITA' D'AGULTU E VIGNOLA,1829,896,1176,613,14,7,3,17,105,181,79,15,153,3,0,30,1,2,511,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,382,171,32.482993197278915,14.540816326530612
SARDEGNA,TULA,1264,633,912,465,7,5,19,2,75,122,23,7,156,1,1,30,0,17,342,0,0,0,0,0,0,0,0,0,0,0,14,46,0,0,0,0,0,222,165,24.342105263157894,18.092105263157894
SARDEGNA,VALLEDORIA,3568,1789,2259,1166,25,9,10,18,363,430,107,33,301,3,6,34,3,7,791,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,918,343,40.63745019920319,15.183709606020363
SARDEGNA,VIDDALBA,1425,724,909,480,18,4,5,5,108,125,17,9,137,4,1,27,2,3,396,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,255,151,28.052805280528055,16.611661166116612
TRENTINO-ALTO ADIGE/S_DTIROL,ALDINO/ALDEIN,1268,636,907,462,83,3,3,1,28,20,3,2,17,4,2,42,15,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,52,25,5.733186328555679,2.7563395810363835
TRENTINO-ALTO ADIGE/S_DTIROL,ANTERIVO/ALTREI,309,153,237,121,27,2,0,0,15,16,0,1,9,0,0,7,5,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,31,10,13.080168776371309,4.219409282700422
TRENTINO-ALTO ADIGE/S_DTIROL,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,10983,5385,7810,3854,333,78,63,11,440,237,75,92,441,36,13,418,61,30,765,0,0,0,0,0,0,0,0,0,0,0,0,0,4116,0,0,0,0,763,582,9.769526248399488,7.451984635083226
TRENTINO-ALTO ADIGE/S_DTIROL,BOLZANO/BOZEN,76642,36026,56910,26999,812,2771,495,227,8276,4838,2056,1782,8582,432,191,3219,151,790,11789,0,0,0,0,0,0,0,0,0,0,0,0,0,7088,0,0,0,0,15397,10987,27.054999121419787,19.305921630644878
TRENTINO-ALTO ADIGE/S_DTIROL,BRONZOLO/BRANZOLL,2092,1052,1710,864,34,71,11,5,334,99,52,24,181,37,3,71,3,5,389,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,490,245,28.654970760233915,14.327485380116958
TRENTINO-ALTO ADIGE/S_DTIROL,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,5935,2874,4154,2006,230,47,23,4,231,86,21,26,134,22,3,205,33,9,342,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,0,0,0,342,185,8.23302840635532,4.453538757823784
TRENTINO-ALTO ADIGE/S_DTIROL,CORNEDO ALL'ISARCO/KARNEID,2542,1322,1825,901,88,17,13,8,107,51,20,6,55,3,0,85,12,7,161,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,0,186,64,10.191780821917808,3.506849315068493
TRENTINO-ALTO ADIGE/S_DTIROL,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,1722,863,1300,642,97,6,16,3,30,21,4,5,35,9,0,79,26,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,58,49,4.461538461538462,3.769230769230769
TRENTINO-ALTO ADIGE/S_DTIROL,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,503,252,415,207,22,1,1,0,51,16,2,2,29,2,0,14,6,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,69,33,16.626506024096386,7.951807228915662
TRENTINO-ALTO ADIGE/S_DTIROL,EGNA/NEUMARKT,3875,1895,2943,1451,99,66,18,3,385,174,40,30,250,26,6,146,27,17,539,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,602,312,20.455317703024125,10.601427115188583
TRENTINO-ALTO ADIGE/S_DTIROL,LAIVES/LEIFERS,13422,6589,10514,5171,151,491,98,31,1945,874,337,164,1206,60,22,386,14,100,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,3187,1452,30.311964999048886,13.810157884725127
TRENTINO-ALTO ADIGE/S_DTIROL,MAGRE' SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,907,442,694,335,51,11,6,0,53,20,2,6,53,3,1,31,4,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,75,63,10.806916426512968,9.077809798270893
TRENTINO-ALTO ADIGE/S_DTIROL,MONTAGNA/MONTAN,1325,635,1002,488,70,11,7,0,41,14,5,3,26,4,0,65,6,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,60,33,5.9880239520958085,3.293413173652695
TRENTINO-ALTO ADIGE/S_DTIROL,ORA/AUER,2797,1347,2106,1011,85,42,10,2,198,81,20,25,162,14,3,150,22,11,302,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,301,204,14.292497625830961,9.686609686609685
TRENTINO-ALTO ADIGE/S_DTIROL,SALORNO/SALURN,2470,1231,1930,971,34,30,18,5,346,112,55,25,246,5,4,63,11,10,363,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,518,280,26.839378238341972,14.507772020725387
TRENTINO-ALTO ADIGE/S_DTIROL,TERMENO SULLA STRADA DEL VINO/TRAMIN AN DER WEINSTRASSE,2582,1261,1845,909,251,14,12,1,66,35,4,9,37,3,0,107,22,7,83,0,0,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,106,49,5.745257452574526,2.655826558265583
TRENTINO-ALTO ADIGE/S_DTIROL,TRODENA NEL PARCO NATURALE/TRUDEN IM NATURPARK,777,376,543,273,27,8,4,0,41,14,6,4,31,0,1,35,5,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,61,36,11.233885819521179,6.629834254143646
TRENTINO-ALTO ADIGE/S_DTIROL,VADENA/PFATTEN,765,392,601,312,10,34,7,3,108,38,13,5,53,6,0,23,5,2,142,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,162,64,26.955074875207984,10.64891846921797
TRENTINO-ALTO ADIGE/S_DTIROL,ANDRIANO/ANDRIAN,774,397,559,283,38,5,3,1,46,15,5,4,14,0,0,14,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,67,18,11.985688729874775,3.2200357781753133
TRENTINO-ALTO ADIGE/S_DTIROL,AVELENGO/HAFLING,590,307,401,208,38,0,1,0,9,5,0,0,6,0,0,9,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,14,6,3.4912718204488775,1.4962593516209477
TRENTINO-ALTO ADIGE/S_DTIROL,CAINES/KUENS,305,147,218,107,19,1,3,0,6,3,2,1,4,1,0,9,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,11,6,5.045871559633028,2.7522935779816518
TRENTINO-ALTO ADIGE/S_DTIROL,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,1797,926,1144,591,101,1,9,1,28,11,1,2,25,3,0,25,17,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,41,30,3.583916083916084,2.6223776223776225
TRENTINO-ALTO ADIGE/S_DTIROL,CERMES/TSCHERMS,1143,574,811,418,49,2,9,0,66,19,0,0,31,1,1,28,11,8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,85,33,10.480887792848335,4.069050554870531
TRENTINO-ALTO ADIGE/S_DTIROL,CURON VENOSTA/GRAUN IM VINSCHGAU,1829,969,1058,557,62,3,2,0,15,17,3,1,11,2,0,29,8,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,35,14,3.30812854442344,1.3232514177693762
TRENTINO-ALTO ADIGE/S_DTIROL,GARGAZZONE/GARGAZON,1299,650,947,480,43,15,6,2,92,34,9,10,56,2,0,38,2,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,137,68,14.46673706441394,7.1805702217529035
TRENTINO-ALTO ADIGE/S_DTIROL,GLORENZA/GLURNS,703,369,450,232,31,0,2,0,17,3,0,0,8,6,0,7,9,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,20,14,4.444444444444445,3.111111111111111
TRENTINO-ALTO ADIGE/S_DTIROL,LACES/LATSCH,3916,1962,2336,1165,205,15,13,32,20,37,4,10,61,7,0,65,32,12,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,93,78,3.981164383561644,3.339041095890411
TRENTINO-ALTO ADIGE/S_DTIROL,LAGUNDO/ALGUND,3778,1826,2604,1239,128,23,23,4,211,97,27,19,127,10,6,83,13,24,237,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,0,339,162,13.018433179723502,6.221198156682028
TRENTINO-ALTO ADIGE/S_DTIROL,LANA/LANA,8935,4294,5891,2817,346,51,34,9,340,185,87,31,260,32,6,254,62,55,518,0,0,0,0,0,0,0,0,0,0,0,0,0,3077,0,0,0,0,621,329,10.54150398913597,5.5847903581734855
TRENTINO-ALTO ADIGE/S_DTIROL,LASA/LAAS,3010,1505,1842,921,173,2,12,3,34,19,7,7,39,8,1,54,20,11,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,63,55,3.420195439739414,2.985884907709012
TRENTINO-ALTO ADIGE/S_DTIROL,LAUREGNO/LAUREIN,263,135,177,93,29,2,1,0,3,1,0,1,8,0,0,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,4,9,2.2598870056497176,5.084745762711865
TRENTINO-ALTO ADIGE/S_DTIROL,MALLES VENOSTA/MALS,3929,1997,2253,1143,162,5,18,1,44,35,10,2,39,6,0,81,65,14,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,90,47,3.9946737683089215,2.0861074123391035
TRENTINO-ALTO ADIGE/S_DTIROL,MARLENGO/MARLING,2039,1020,1348,671,87,11,6,92,1,50,12,9,65,5,1,43,23,15,138,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,155,80,11.498516320474778,5.934718100890208
TRENTINO-ALTO ADIGE/S_DTIROL,MARTELLO/MARTELL,666,359,411,215,42,0,0,0,4,0,0,3,5,1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,4,9,0.9732360097323601,2.18978102189781
TRENTINO-ALTO ADIGE/S_DTIROL,MELTINA/MÍLTEN,1249,657,889,481,68,3,5,0,15,6,5,5,21,1,2,18,5,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,26,29,2.924634420697413,3.262092238470191
TRENTINO-ALTO ADIGE/S_DTIROL,MERANO/MERAN,28198,13294,19207,9104,437,216,106,69,2748,1496,494,274,2153,122,198,808,138,273,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,4943,0,0,0,0,4807,2747,25.027333784557715,14.302077367626387
TRENTINO-ALTO ADIGE/S_DTIROL,MOSO IN PASSIRIA/MOOS IN PASSEIER,1571,831,1027,538,101,3,16,0,10,9,1,0,14,1,0,11,19,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,20,15,1.9474196689386565,1.4605647517039921
TRENTINO-ALTO ADIGE/S_DTIROL,NALLES/NALS,1504,753,1027,501,60,9,4,0,65,23,13,8,47,7,2,26,6,6,102,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,101,64,9.834469328140214,6.2317429406037
TRENTINO-ALTO ADIGE/S_DTIROL,NATURNO/NATURNS,4350,2189,2636,1305,238,8,9,5,123,73,2,6,67,12,2,80,33,24,123,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,0,0,0,0,203,87,7.701062215477997,3.3004552352048555
TRENTINO-ALTO ADIGE/S_DTIROL,PARCINES/PARTSCHINS,2862,1400,1795,896,178,0,13,2,95,59,4,5,56,8,0,38,19,21,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,160,69,8.913649025069638,3.8440111420612815
TRENTINO-ALTO ADIGE/S_DTIROL,PLAUS/PLAUS,525,280,334,175,30,1,1,0,9,14,2,0,9,2,0,4,6,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,25,11,7.48502994011976,3.293413173652695
TRENTINO-ALTO ADIGE/S_DTIROL,POSTAL/BURGSTALL,1427,698,1010,495,57,19,2,0,126,46,12,9,49,5,0,32,6,10,140,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,184,63,18.217821782178216,6.237623762376238
TRENTINO-ALTO ADIGE/S_DTIROL,PRATO ALLO STELVIO/PRAD AM STILFSER JOCH,2697,1364,1582,801,109,3,6,0,27,35,3,3,47,3,1,44,42,14,84,0,0,0,0,0,0,0,0,0,0,0,0,0,997,0,0,0,0,65,54,4.108723135271807,3.4134007585335016
TRENTINO-ALTO ADIGE/S_DTIROL,PROVES/PROVEIS,210,124,161,97,14,1,0,1,5,0,0,1,2,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,6,4,3.7267080745341614,2.484472049689441
TRENTINO-ALTO ADIGE/S_DTIROL,RIFIANO/RIFFIAN,1024,510,681,337,61,5,9,0,26,10,2,0,24,4,0,28,11,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,38,28,5.580029368575625,4.1116005873715125
TRENTINO-ALTO ADIGE/S_DTIROL,SAN GENESIO ATESINO/JENESIEN,2352,1193,1714,888,114,6,13,1,41,21,3,10,36,4,0,61,6,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,66,50,3.8506417736289387,2.9171528588098017
TRENTINO-ALTO ADIGE/S_DTIROL,SAN LEONARDO IN PASSIRIA/ST. LEONHARD IN PASSEIER,2770,1418,1723,858,184,6,11,2,37,22,1,1,32,8,0,37,41,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,0,62,41,3.5983749274521184,2.379570516540917
TRENTINO-ALTO ADIGE/S_DTIROL,SAN MARTINO IN PASSIRIA/ST. MARTIN IN PASSEIER,2450,1235,1485,735,214,2,15,0,28,38,0,1,32,7,1,30,30,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,66,41,4.444444444444445,2.760942760942761
TRENTINO-ALTO ADIGE/S_DTIROL,SAN PANCRAZIO/ST. PANKRAZ,1232,637,766,388,120,2,8,0,27,9,0,0,8,0,0,19,12,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,36,8,4.699738903394255,1.0443864229765014
TRENTINO-ALTO ADIGE/S_DTIROL,SARENTINO/SARNTAL,5453,2756,3583,1809,281,8,18,1,80,43,7,2,94,10,1,85,18,6,165,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,0,0,0,0,131,107,3.6561540608428693,2.9863243092380687
TRENTINO-ALTO ADIGE/S_DTIROL,SCENA/SCHENNA,2182,1104,1426,706,160,5,6,2,48,13,1,6,34,3,1,42,15,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,0,0,0,64,44,4.488078541374474,3.0855539971949506
TRENTINO-ALTO ADIGE/S_DTIROL,SENALES/SCHNALS,989,514,673,352,37,1,1,0,14,8,0,0,11,1,0,11,15,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,22,12,3.268945022288262,1.7830609212481425
TRENTINO-ALTO ADIGE/S_DTIROL,SENALE-SAN FELICE/UNSERE LIEBE FRAU IM WALDE-ST. FELIX,598,306,414,211,50,0,8,0,17,7,2,0,7,2,0,8,1,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,26,9,6.280193236714976,2.1739130434782608
TRENTINO-ALTO ADIGE/S_DTIROL,SILANDRO/SCHLANDERS,4627,2265,3044,1504,251,5,30,34,91,49,5,19,110,13,1,109,45,9,144,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,0,0,0,0,179,143,5.88042049934297,4.697766097240473
TRENTINO-ALTO ADIGE/S_DTIROL,SLUDERNO/SCHLUDERNS,1408,695,825,419,54,2,4,1,17,12,1,3,10,2,0,26,6,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,31,15,3.7575757575757573,1.8181818181818181
TRENTINO-ALTO ADIGE/S_DTIROL,STELVIO/STILFS,884,456,480,250,44,0,2,0,13,8,2,1,18,0,0,9,13,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,23,19,4.791666666666667,3.958333333333333
TRENTINO-ALTO ADIGE/S_DTIROL,TERLANO/TERLAN,3239,1593,2380,1173,99,32,10,0,155,78,23,28,128,12,5,97,11,8,242,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,256,173,10.756302521008404,7.268907563025211
TRENTINO-ALTO ADIGE/S_DTIROL,TESIMO/TISENS,1500,749,984,503,87,2,1,0,42,21,5,2,27,3,0,24,7,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,68,32,6.910569105691057,3.2520325203252036
TRENTINO-ALTO ADIGE/S_DTIROL,TIROLO/TIROL,1899,939,1254,615,69,1,4,1,41,20,2,4,32,5,3,29,9,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0,0,0,64,44,5.103668261562999,3.508771929824561
TRENTINO-ALTO ADIGE/S_DTIROL,TUBRE/TAUFERS IM M_NSTERTAL,769,385,411,209,18,0,2,0,6,4,1,1,0,1,1,6,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,11,3,2.67639902676399,0.7299270072992701
TRENTINO-ALTO ADIGE/S_DTIROL,ULTIMO/ULTEN,2267,1162,1360,671,205,2,11,7,28,21,1,0,31,3,0,38,22,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,57,34,4.191176470588235,2.5
TRENTINO-ALTO ADIGE/S_DTIROL,VERANO/VÍRAN,730,387,489,249,43,0,5,2,7,5,0,3,20,3,0,8,5,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,14,26,2.8629856850715747,5.316973415132924
TRENTINO-ALTO ADIGE/S_DTIROL,BADIA/ABTEI,2650,1301,1990,992,78,5,16,5,316,92,15,17,104,7,0,31,14,5,278,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,428,128,21.50753768844221,6.432160804020101
TRENTINO-ALTO ADIGE/S_DTIROL,BARBIANO/BARBIAN,1281,663,849,432,73,0,5,1,20,9,3,1,19,2,1,28,2,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,33,23,3.8869257950530036,2.7090694935217905
TRENTINO-ALTO ADIGE/S_DTIROL,BRAIES/PRAGS,517,262,332,169,51,1,2,0,6,3,1,2,10,0,0,4,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,10,12,3.0120481927710845,3.614457831325301
TRENTINO-ALTO ADIGE/S_DTIROL,BRENNERO/BRENNER,1517,804,1038,561,82,15,8,1,103,37,14,13,46,8,0,33,6,5,108,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,155,67,14.932562620423893,6.454720616570328
TRENTINO-ALTO ADIGE/S_DTIROL,BRESSANONE/BRIXEN,15892,7620,11024,5300,384,63,107,23,1025,480,157,128,898,50,17,618,40,42,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,4834,0,0,0,0,1685,1093,15.284833091436864,9.914731494920174
TRENTINO-ALTO ADIGE/S_DTIROL,BRUNICO/BRUNECK,12205,5956,8222,4090,492,100,50,69,455,313,106,84,573,54,4,389,114,35,713,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,0,0,0,0,943,715,11.469228898078326,8.696180977864266
TRENTINO-ALTO ADIGE/S_DTIROL,CAMPO DI TRENS/FREIENFELD,2013,1041,1320,683,177,5,6,0,65,21,6,4,57,4,0,41,11,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,92,65,6.969696969696971,4.924242424242424
TRENTINO-ALTO ADIGE/S_DTIROL,CAMPO TURES/SAND IN TAUFERS,4150,2062,2544,1258,280,7,18,2,65,33,7,8,108,12,1,60,45,2,122,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,0,0,0,0,107,129,4.205974842767295,5.070754716981132
TRENTINO-ALTO ADIGE/S_DTIROL,CASTELROTTO/KASTELRUTH,5095,2536,3325,1641,210,8,16,1,151,103,13,22,119,9,4,122,31,6,216,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,0,0,0,268,154,8.06015037593985,4.631578947368421
TRENTINO-ALTO ADIGE/S_DTIROL,CHIENES/KIENS,2189,1114,1516,793,150,1,11,0,50,17,6,4,56,2,1,46,24,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,73,63,4.8153034300791555,4.155672823218998
TRENTINO-ALTO ADIGE/S_DTIROL,CHIUSA/KLAUSEN,3858,1941,2894,1442,208,11,21,0,97,72,8,11,145,8,2,102,18,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,0,0,177,166,6.116102280580511,5.736005528680028
TRENTINO-ALTO ADIGE/S_DTIROL,CORVARA IN BADIA/CORVARA,1095,532,810,408,29,5,4,0,164,76,6,14,21,2,0,7,2,7,94,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,246,37,30.37037037037037,4.567901234567901
TRENTINO-ALTO ADIGE/S_DTIROL,DOBBIACO/TOBLACH,2533,1282,1704,886,124,16,11,4,99,75,9,6,105,8,0,72,14,6,182,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,187,119,10.974178403755868,6.98356807511737
TRENTINO-ALTO ADIGE/S_DTIROL,FALZES/PFALZEN,2119,1075,1355,668,129,3,6,0,29,20,0,8,33,6,0,64,26,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,824,0,0,0,0,49,47,3.616236162361624,3.4686346863468636
TRENTINO-ALTO ADIGE/S_DTIROL,FIE' ALLO SCILIAR/VÍLS AM SCHLERN,2562,1262,1794,877,118,8,10,1,63,36,7,9,71,6,1,71,14,2,136,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,107,87,5.964325529542921,4.849498327759197
TRENTINO-ALTO ADIGE/S_DTIROL,FORTEZZA/FRANZENSFESTE,597,309,445,229,24,8,0,1,77,23,15,6,40,0,2,13,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,116,48,26.06741573033708,10.786516853932584
TRENTINO-ALTO ADIGE/S_DTIROL,FUNES/VILLNÍSS,1940,974,1349,670,103,1,4,0,14,15,4,2,26,4,0,45,9,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,33,32,2.446256486286138,2.3721275018532246
TRENTINO-ALTO ADIGE/S_DTIROL,GAIS/GAIS,2532,1273,1580,779,173,3,14,4,49,23,2,3,68,1,1,49,45,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,0,0,0,78,73,4.936708860759493,4.620253164556963
TRENTINO-ALTO ADIGE/S_DTIROL,LAION/LAJEN,1935,965,1393,700,96,5,15,0,57,31,7,4,32,7,0,32,3,3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,869,0,0,0,0,95,43,6.81981335247667,3.086862885857861
TRENTINO-ALTO ADIGE/S_DTIROL,LA VALLE/WENGEN,1056,559,792,428,65,2,6,1,94,19,2,3,31,0,1,22,2,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,116,35,14.646464646464647,4.41919191919192
TRENTINO-ALTO ADIGE/S_DTIROL,LUSON/L_SEN,1143,564,755,375,64,1,6,0,23,8,0,0,15,0,0,22,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,31,15,4.105960264900662,1.9867549668874174
TRENTINO-ALTO ADIGE/S_DTIROL,MAREBBE/ENNEBERG,2234,1135,1551,816,90,3,7,1,136,55,8,9,66,10,0,38,10,6,250,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,200,85,12.89490651192779,5.48033526756931
TRENTINO-ALTO ADIGE/S_DTIROL,MONGUELFO-TESIDO/WELSBERG-TAISTEN,2135,1062,1398,694,133,1,5,0,56,23,7,6,66,11,0,46,16,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,86,83,6.151645207439199,5.9370529327610875
TRENTINO-ALTO ADIGE/S_DTIROL,NAZ-SCIAVES/NATZ-SCHABS,2274,1158,1571,792,127,3,16,0,64,27,1,6,44,12,5,68,10,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,92,67,5.856142584341184,4.26479949077021
TRENTINO-ALTO ADIGE/S_DTIROL,NOVA LEVANTE/WELSCHNOFEN,1485,771,960,493,66,0,7,13,10,16,5,0,41,6,1,55,4,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,44,48,4.583333333333333,5
TRENTINO-ALTO ADIGE/S_DTIROL,NOVA PONENTE/DEUTSCHNOFEN,2930,1483,2064,1053,94,9,16,2,64,29,5,7,78,6,2,93,10,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,100,93,4.844961240310078,4.505813953488372
TRENTINO-ALTO ADIGE/S_DTIROL,ORTISEI/ST. ULRICH,3574,1771,2515,1254,113,9,46,3,266,109,27,15,135,16,0,134,7,8,271,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,405,166,16.10337972166998,6.600397614314116
