CIRC-REG,COMUNE,ELETTORITOT,ELETTORIM,VOTANTITOT,VOTANTIM,SKBIANCHE,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,ITALEXIT PER L'ITALIA,UNIONE POPOLARE CON DE MAGISTRIS,ITALIA SOVRANA E POPOLARE,VITA,FRATELLI D'ITALIA CON GIORGIA MELONI,MASTELLA NOI DI CENTRO EUROPEISTI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,FREE,SUD CHIAMA NORD,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,FORZA DEL POPOLO,SUDTIROLER VOLKSPARTEI (SVP) - PATT,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,LUSERNA SAN GIOVANNI,5562,2660,3460,1704,47,345,203,15,705,204,138,10,263,184,73,67,46,43,695,0,0,0,0,0,0,0,0,0,1258,1057,36.358381502890175,30.549132947976876
PIEMONTE 1,LUSERNETTA,397,194,295,148,6,28,37,0,53,9,13,1,25,17,9,1,7,6,66,0,0,0,0,0,0,0,0,0,131,76,44.40677966101695,25.76271186440678
PIEMONTE 1,MACELLO,928,450,675,327,17,76,64,0,85,19,18,10,45,45,14,8,8,6,201,0,0,0,0,0,0,0,0,0,341,132,50.51851851851852,19.555555555555557
PIEMONTE 1,MASSELLO,54,28,37,22,1,3,2,0,10,2,0,0,1,1,0,7,1,0,6,0,0,0,0,0,0,0,0,0,11,12,29.72972972972973,32.432432432432435
PIEMONTE 1,MATTIE,560,277,337,174,3,33,18,0,34,7,5,4,36,17,48,8,12,2,71,0,0,0,0,0,0,0,0,0,122,50,36.20178041543027,14.836795252225517
PIEMONTE 1,MEANA DI SUSA,680,353,420,226,2,44,24,0,42,20,2,2,68,14,23,16,14,4,97,0,0,0,0,0,0,0,0,0,165,66,39.285714285714285,15.714285714285714
PIEMONTE 1,MOMPANTERO,538,256,347,161,6,23,26,1,43,7,10,0,55,19,13,20,9,1,84,0,0,0,0,0,0,0,0,0,134,60,38.61671469740634,17.29106628242075
PIEMONTE 1,MONCALIERI,43576,20938,29146,14262,271,2231,1940,132,6006,1086,1317,120,3151,2574,638,303,372,267,6632,0,0,0,0,0,0,0,0,0,10935,8529,37.518012763329445,29.263020654635284
PIEMONTE 1,MONCENISIO,39,19,37,18,0,4,7,0,1,0,0,0,4,3,2,0,0,1,7,0,0,0,0,0,0,0,0,0,18,1,48.64864864864865,2.7027027027027026
PIEMONTE 1,NICHELINO,37114,17766,23623,11586,286,2021,1477,58,4636,1148,711,104,3676,1289,530,355,343,204,5118,0,0,0,0,0,0,0,0,0,8674,6599,36.718452355754984,27.93463996952123
PIEMONTE 1,NONE,6238,3094,4150,2056,46,402,339,15,733,136,122,28,606,213,102,47,57,31,945,0,0,0,0,0,0,0,0,0,1701,1019,40.98795180722892,24.55421686746988
PIEMONTE 1,NOVALESA,442,212,329,162,7,29,14,1,44,10,8,0,47,15,11,11,3,5,77,0,0,0,0,0,0,0,0,0,121,62,36.77811550151976,18.84498480243161
PIEMONTE 1,ORBASSANO,18747,8936,12553,6144,116,1132,916,37,2269,389,366,68,1943,804,281,190,180,125,2842,0,0,0,0,0,0,0,0,0,4927,3092,39.24958177328129,24.63156217637218
PIEMONTE 1,OSASCO,948,469,687,337,13,76,62,4,106,12,24,3,63,52,9,13,9,6,185,0,0,0,0,0,0,0,0,0,327,145,47.59825327510917,21.106259097525474
PIEMONTE 1,OULX,2561,1322,1623,830,18,148,111,11,193,62,51,2,117,116,48,24,16,21,551,0,0,0,0,0,0,0,0,0,821,308,50.58533579790512,18.97720271102896
PIEMONTE 1,PANCALIERI,1425,660,1020,489,24,43,93,62,131,17,23,2,63,73,11,3,8,5,368,0,0,0,0,0,0,0,0,0,566,173,55.490196078431374,16.96078431372549
PIEMONTE 1,PEROSA ARGENTINA,2530,1190,1551,774,29,131,94,4,270,71,74,7,124,120,40,37,29,23,355,0,0,0,0,0,0,0,0,0,584,422,37.65312701482914,27.208252740167634
PIEMONTE 1,PERRERO,495,266,311,171,5,37,20,1,48,7,12,2,31,15,10,21,2,0,71,0,0,0,0,0,0,0,0,0,129,69,41.47909967845659,22.186495176848876
